Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview,Available_On,Subscription_Required,Release_Date,Price
Majo no takkyûbin,1989,"Animation, Adventure, Drama",103 min,7.8,"A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service.",,,2020-10-08,
Vertigo,1958,"Mystery, Romance, Thriller",128 min,,A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.,Hulu,False,,0.0
Capharnaüm,2018,Drama,126 min,8.4,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Netflix,True,2018-07-21,
Toy Story 3,2010,"Animation, Adventure, Comedy",,8.2,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",,False,,0.0
Do the Right Thing,1989,"Comedy, Drama",120 min,8.0,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence.",,False,2019-02-06,
The Royal Tenenbaums,2001,,110 min,7.6,The eccentric members of a dysfunctional family reluctantly gather under the same roof for various reasons.,,False,,0.0
PK,2014,"Comedy, Drama, Musical",153 min,8.1,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.,,,2018-04-08,0.0
What's Eating Gilbert Grape,1993,Drama,118 min,7.8,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.,,True,2020-05-25,
Rupan sansei: Kariosutoro no shiro,1979,,100 min,7.7,"A dashing thief, his gang of desperadoes and an intrepid policeman struggle to free a princess from an evil count's clutches, and learn the hidden secret to a fabulous treasure that she holds part of a key to.",,True,,0.0
Death Note: Desu nôto,2006,"Crime, Drama, Fantasy",,7.7,"A battle between the world's two greatest minds begins when Light Yagami finds the Death Note, a notebook with the power to kill, and decides to rid the world of criminals.",HBO Max,True,2016-12-10,0.0
Inception,2010,"Action, Adventure, Sci-Fi",148 min,8.8,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,Hulu,False,2016-09-02,19.14
The Fifth Element,1997,"Action, Adventure, Sci-Fi",126 min,,,Disney+,True,2022-03-25,0.33
The Prestige,2006,"Drama, Mystery, Sci-Fi",130 min,8.5,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",HBO Max,True,2021-09-11,0.0
Brief Encounter,1945,,86 min,,"Meeting a stranger in a railway station, a woman is tempted to cheat on her husband.",,False,2021-02-15,0.0
Shrek,2001,"Animation, Adventure, Comedy",90 min,7.8,,,True,,6.51
Fa yeung nin wah,2000,"Drama, Romance",98 min,,"Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",HBO Max,True,2021-03-15,0.0
Kumonosu-jô,1957,"Drama, History",110 min,8.1,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.",,,2021-11-01,0.0
Star Trek Into Darkness,2013,"Action, Adventure, Sci-Fi",132 min,,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.",Netflix,,2020-02-12,0.0
Sound of Metal,2019,"Drama, Music",120 min,7.8,,Hulu,True,,0.0
Avatar,2009,"Action, Adventure, Fantasy",162 min,,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,Amazon Prime,,,0.0
Me and Earl and the Dying Girl,2015,"Comedy, Drama",105 min,7.7,"High schooler Greg, who spends most of his time making parodies of classic movies with his co-worker Earl, finds his outlook forever altered after befriending a classmate who has just been diagnosed with cancer.",,False,2018-06-18,0.0
Incredibles 2,2018,"Animation, Action, Adventure",118 min,7.6,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,Disney+,True,2015-10-02,18.61
Jurassic Park,1993,"Action, Adventure, Sci-Fi",,8.1,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,Netflix,True,2017-03-13,17.13
Das weiße Band - Eine deutsche Kindergeschichte,2009,"Drama, History, Mystery",144 min,7.8,"Strange events happen in a small village in the north of Germany during the years before World War I, which seem to be ritual punishment. Who is responsible?",,True,2021-03-04,14.68
Jungfrukällan,1960,Drama,89 min,8.1,"An innocent yet pampered young virgin and her family's pregnant and jealous servant set out to deliver candles to church, but only one returns from events that transpire in the woods along the way.",HBO Max,False,,0.0
Annie Hall,1977,"Comedy, Romance",93 min,8.0,Neurotic New York comedian Alvy Singer falls in love with the ditzy Annie Hall.,HBO Max,False,,0.0
Pan's Labyrinth,2006,"Drama, Fantasy, War",118 min,8.2,,Netflix,True,2024-09-03,0.0
I Am Sam,2001,Drama,132 min,7.7,A mentally handicapped man fights for custody of his 7-year-old daughter and in the process teaches his cold-hearted lawyer the value of love and family.,Amazon Prime,False,,0.0
Les triplettes de Belleville,2003,,80 min,7.8,"When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him.",HBO Max,,2017-06-28,
Only the Brave,2017,"Action, Biography, Drama",134 min,7.6,"Based on the true story of the Granite Mountain Hotshots, a group of elite firefighters who risk everything to protect a town from a historic wildfire.",Amazon Prime,False,,10.09
L'avventura,1960,"Drama, Mystery",144 min,7.9,"A woman disappears during a Mediterranean boating trip. During the search, her lover and her best friend become attracted to each other.",Amazon Prime,False,2017-12-11,0.0
Mustang,2015,Drama,97 min,7.6,,Disney+,,,6.02
District 9,2009,"Action, Sci-Fi, Thriller",112 min,7.9,Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.,,False,2018-01-09,0.0
The Wolf of Wall Street,2013,"Biography, Crime, Drama",180 min,8.2,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",HBO Max,True,2018-09-11,0.0
Up,2009,"Animation, Adventure, Comedy",96 min,8.2,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",,True,,3.36
Roma,2018,Drama,135 min,7.7,A year in the life of a middle-class family's maid in Mexico City in the early 1970s.,Disney+,,2016-11-16,0.0
Lord of War,2005,,,7.6,,Netflix,True,2020-07-26,0.0
Nebraska,2013,"Adventure, Comedy, Drama",,7.7,"An aging, booze-addled father makes the trip from Montana to Nebraska with his estranged son in order to claim a million-dollar Mega Sweepstakes Marketing prize.",HBO Max,True,2018-12-19,0.0
Tombstone,1993,"Action, Biography, Drama",130 min,7.8,"A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating.",Netflix,False,2022-07-13,0.0
Deadpool,2016,"Action, Adventure, Comedy",108 min,,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",Disney+,False,,0.0
Knives Out,2019,"Comedy, Crime, Drama",130 min,7.9,"A detective investigates the death of a patriarch of an eccentric, combative family.",Disney+,True,2024-10-31,13.19
Bajrangi Bhaijaan,2015,"Action, Adventure, Comedy",,8.0,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,,False,2017-10-21,0.0
Du rififi chez les hommes,1955,,118 min,8.2,"Four men plan a technically perfect crime, but the human element intervenes...",Disney+,,2022-03-08,0.0
Double Indemnity,1944,"Crime, Drama, Film-Noir",107 min,8.3,An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.,HBO Max,False,2021-11-21,3.2
Dirty Harry,1971,,,,"When a madman calling himself ""the Scorpio Killer"" menaces the city, tough-as-nails San Francisco Police Inspector ""Dirty"" Harry Callahan is assigned to track down and ferret out the crazed psychopath.",,,2018-01-22,18.04
Chugyeokja,2008,"Action, Crime, Thriller",125 min,7.8,A disgraced ex-policeman who runs a small ring of prostitutes finds himself in a race against time when one of his women goes missing.,Disney+,False,2016-11-10,4.41
El secreto de sus ojos,2009,"Drama, Mystery, Romance",129 min,8.2,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,Netflix,True,2023-05-31,0.0
Funny Games,1997,"Crime, Drama, Thriller",108 min,7.6,,Amazon Prime,False,2017-05-11,0.0
Koe no katachi,2016,"Animation, Drama, Family",130 min,8.1,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.",,True,2019-01-18,2.46
The Hobbit: The Desolation of Smaug,2013,"Adventure, Fantasy",161 min,7.8,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.",,False,2024-04-24,0.0
Rocky,1976,"Drama, Sport",120 min,8.1,A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.,Hulu,True,2020-08-06,0.0
What Ever Happened to Baby Jane?,1962,"Drama, Horror, Thriller",,8.1,A former child star torments her paraplegic sister in their decaying Hollywood mansion.,Netflix,True,,1.81
JFK,1991,,189 min,8.0,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,HBO Max,False,,0.0
Ladri di biciclette,1948,Drama,89 min,8.3,"In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it.",Disney+,True,2016-03-13,
Some Like It Hot,1959,"Comedy, Music, Romance",121 min,8.2,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",Hulu,True,2018-07-09,12.01
Logan,2017,"Action, Drama, Sci-Fi",137 min,8.1,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",,True,2021-06-30,0.0
Touch of Evil,1958,"Crime, Drama, Film-Noir",95 min,,"A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town.",Hulu,False,,0.0
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,,,8.1,Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).,,False,2024-07-23,14.71
Jaws,1975,"Adventure, Thriller",124 min,8.0,"When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",,,2021-07-29,0.0
Saw,2004,"Horror, Mystery, Thriller",103 min,7.6,"Two strangers awaken in a room with no recollection of how they got there, and soon discover they're pawns in a deadly game perpetrated by a notorious serial killer.",Disney+,True,2017-08-12,
Efter brylluppet,2006,Drama,120 min,,"A manager of an orphanage in India is sent to Copenhagen, Denmark, where he discovers a life-altering family secret.",,True,2021-06-28,0.0
Despicable Me,2010,"Animation, Comedy, Crime",,,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",Netflix,,2018-09-13,16.16
The Purple Rose of Cairo,1985,"Comedy, Fantasy, Romance",82 min,7.7,"In New Jersey in 1935, a movie character walks off the screen and into the real world.",Netflix,False,2015-04-20,0.0
Guardians of the Galaxy Vol. 2,2017,"Action, Adventure, Comedy",136 min,7.6,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",,,2020-03-18,0.0
Uri: The Surgical Strike,2018,"Action, Drama, War",138 min,,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",,True,2017-03-10,0.0
The Notebook,2004,"Drama, Romance",123 min,7.8,,Amazon Prime,,,0.0
Dances with Wolves,1990,,,8.0,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Indians, making him an intolerable aberration in the military.",,False,2018-11-12,
The Last Samurai,2003,"Action, Drama",154 min,7.7,,Disney+,,,
Control,2007,"Biography, Drama, Music",122 min,7.7,"A profile of Ian Curtis, the enigmatic singer of Joy Division whose personal, professional, and romantic troubles led him to commit suicide at the age of 23.",,True,2020-08-09,
Kai po che!,2013,"Drama, Sport",,7.7,Three friends growing up in India at the turn of the millennium set out to open a training academy to produce the country's next cricket stars.,Amazon Prime,,2016-08-21,19.07
Die Welle,2008,"Drama, Thriller",107 min,,A high school teacher's experiment to demonstrate to his students what life is like under a dictatorship spins horribly out of control when he forms a social unit with a life of its own.,Netflix,False,,
Song of the Sea,2014,"Animation, Adventure, Drama",93 min,,"Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world.",Disney+,,2021-05-15,0.0
Gongdong gyeongbi guyeok JSA,2000,"Action, Drama, Thriller",110 min,7.8,"After a shooting incident at the North/South Korean border/DMZ leaves 2 North Korean soldiers dead, a neutral Swiss/Swedish team investigates, what actually happened.",Amazon Prime,,2017-07-06,0.0
The Blind Side,2009,"Biography, Drama, Sport",129 min,7.6,"The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.",,True,2016-03-03,0.0
Silver Linings Playbook,2012,"Comedy, Drama, Romance",122 min,7.7,,HBO Max,,2017-11-17,
As Good as It Gets,1997,"Comedy, Drama, Romance",139 min,7.7,,HBO Max,False,2021-11-24,0.0
Stardust,2007,"Adventure, Family, Fantasy",127 min,7.6,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.",Hulu,False,2023-06-27,0.0
Mr. Nobody,2009,"Drama, Fantasy, Romance",141 min,7.8,,Netflix,False,2024-08-04,0.0
Gilda,1946,"Drama, Film-Noir, Romance",110 min,,A small-time gambler hired to work in a Buenos Aires casino discovers his employer's new wife is his former lover.,Netflix,False,2021-12-11,
Flipped,2010,"Comedy, Drama, Romance",90 min,7.7,Two eighth-graders start to have feelings for each other despite being total opposites.,Amazon Prime,True,,0.0
Pâfekuto burû,1997,"Animation, Crime, Mystery",81 min,8.0,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past.",Amazon Prime,False,2024-06-21,0.0
Delicatessen,1991,"Comedy, Crime",99 min,7.6,Post-apocalyptic surrealist black comedy about the landlord of an apartment building who occasionally prepares a delicacy for his odd tenants.,Hulu,True,2025-01-08,0.0
No Man's Land,2001,"Comedy, Drama, War",98 min,7.9,"Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a living booby trap.",,True,,
Stand by Me,1986,"Adventure, Drama",89 min,8.1,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",,,2016-06-22,0.0
The Muppet Christmas Carol,1992,"Comedy, Drama, Family",85 min,7.7,The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.,,False,2023-10-13,0.0
The Killing,1956,"Crime, Drama, Film-Noir",84 min,8.0,,Hulu,True,,16.74
Letters from Iwo Jima,2006,"Action, Adventure, Drama",141 min,7.9,"The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.",,False,2018-10-27,0.0
The Sting,1973,"Comedy, Crime, Drama",129 min,,Two grifters team up to pull off the ultimate con.,Disney+,True,,
The Outlaw Josey Wales,1976,Western,135 min,7.8,Missouri farmer Josey Wales joins a Confederate guerrilla unit and winds up on the run from the Union soldiers who murdered his family.,,True,2019-07-19,0.0
No Country for Old Men,2007,"Crime, Drama, Thriller",122 min,8.1,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,Disney+,False,2025-01-24,0.0
The Ladykillers,1955,,91 min,7.7,Five oddball criminals planning a bank robbery rent rooms on a cul-de-sac from an octogenarian widow under the pretext that they are classical musicians.,Disney+,False,2020-05-08,0.0
Madeo,2009,"Crime, Drama, Mystery",129 min,7.8,A mother desperately searches for the killer who framed her son for a girl's horrific murder.,,True,2023-10-02,14.05
Awakenings,1990,,121 min,7.8,"The victims of an encephalitis epidemic many years ago have been catatonic ever since, but now a new drug offers the prospect of reviving them.",Amazon Prime,False,2017-05-17,0.0
Cinderella Man,2005,"Biography, Drama, History",144 min,8.0,"The story of James J. Braddock, a supposedly washed-up boxer who came back to become a champion and an inspiration in the 1930s.",HBO Max,False,2016-08-24,0.0
On Golden Pond,1981,Drama,,7.6,,Amazon Prime,False,2022-05-09,2.47
Airplane!,1980,Comedy,88 min,7.7,A man afraid to fly must ensure that a plane lands safely after the pilots become sick.,,False,2023-01-26,14.12
Lage Raho Munna Bhai,2006,"Comedy, Drama, Romance",,8.1,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.,Hulu,False,2018-07-14,0.0
The Magdalene Sisters,2002,,114 min,,Three young Irish women struggle to maintain their spirits while they endure dehumanizing abuse as inmates of a Magdalene Sisters Asylum.,HBO Max,,2021-01-11,9.9
Mississippi Burning,1988,"Crime, Drama, History",128 min,,Two F.B.I. Agents with wildly different styles arrive in Mississippi to investigate the disappearance of some civil rights activists.,HBO Max,False,2015-12-29,7.53
La passion de Jeanne d'Arc,1928,,110 min,8.1,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",Amazon Prime,False,2019-01-01,6.66
The Boondock Saints,1999,"Action, Crime, Thriller",108 min,7.8,Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.,Netflix,True,2020-08-04,
The Terminator,1984,,107 min,,,Disney+,,,16.2
Dawn of the Planet of the Apes,2014,"Action, Adventure, Drama",130 min,7.6,,HBO Max,False,2022-07-23,1.05
Red River,1948,"Action, Adventure, Drama",133 min,7.8,"Dunson leads a cattle drive, the culmination of over 14 years of work, to its destination in Missouri. But his tyrannical behavior along the way causes a mutiny, led by his adopted son.",Amazon Prime,True,2023-09-22,3.58
Persepolis,2007,"Animation, Biography, Drama",96 min,8.0,,Disney+,True,,
Dilwale Dulhania Le Jayenge,1995,"Drama, Romance",189 min,,"When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.",Disney+,True,2019-07-23,0.0
The Lego Movie,2014,"Animation, Action, Adventure",100 min,7.7,,Hulu,False,2021-06-04,13.18
Hot Fuzz,2007,"Action, Comedy, Mystery",,,A skilled London police officer is transferred to a small town with a dark secret.,,True,2015-06-13,19.81
The World's Fastest Indian,2005,"Biography, Drama, Sport",127 min,7.8,"The story of New Zealander Burt Munro, who spent years rebuilding a 1920 Indian motorcycle, which helped him set the land speed world record at Utah's Bonneville Salt Flats in 1967.",Netflix,True,2018-02-13,0.0
Zerkalo,1975,"Biography, Drama",107 min,8.1,"A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.",,True,2023-11-07,0.0
Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Action, Adventure, Fantasy",,8.0,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",Hulu,False,2023-01-22,0.0
Dancer in the Dark,2000,"Crime, Drama, Musical",140 min,8.0,"An East European girl travels to the United States with her young son, expecting it to be like a Hollywood film.",,False,,15.15
A Wednesday,2008,,,8.1,A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.,Hulu,False,,0.0
American Psycho,2000,,101 min,7.6,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",,,2023-06-26,0.0
Do lok tin si,1995,"Comedy, Crime, Drama",99 min,,"This Hong Kong-set crime drama follows the lives of a hitman, hoping to get out of the business, and his elusive female partner.",Amazon Prime,True,2017-05-21,0.0
Sing Street,2016,"Comedy, Drama, Music",106 min,7.9,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,Netflix,True,2019-05-06,0.0
The Help,2011,Drama,146 min,8.0,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",Disney+,False,2024-07-31,0.0
Mystic River,2003,"Crime, Drama, Mystery",138 min,7.9,The lives of three men who were childhood friends are shattered when one of them has a family tragedy.,Amazon Prime,,2023-08-07,7.87
Lilja 4-ever,2002,"Crime, Drama",109 min,7.8,"Sixteen-year-old Lilja and her only friend, the young boy Volodja, live in Russia, fantasizing about a better life. One day, Lilja falls in love with Andrej, who is going to Sweden, and invites Lilja to come along and start a new life.",HBO Max,False,2023-07-13,0.0
Midnight Express,1978,"Biography, Crime, Drama",121 min,7.6,"Billy Hayes, an American college student, is caught smuggling drugs out of Turkey and thrown into prison.",,,2017-12-27,11.6
300,2006,"Action, Drama",117 min,,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,Amazon Prime,False,2023-02-12,16.99
Hævnen,2010,"Drama, Romance",118 min,7.6,"The lives of two Danish families cross each other, and an extraordinary but risky friendship comes into bud. But loneliness, frailty and sorrow lie in wait.",Netflix,False,2022-09-27,
Auf der anderen Seite,2007,Drama,,7.8,A Turkish man travels to Istanbul to find the daughter of his father's former girlfriend.,Disney+,True,2024-06-01,0.0
The Odd Couple,1968,Comedy,,7.7,"Two friends try sharing an apartment, but their ideas of housekeeping and lifestyles are as different as night and day.",Hulu,True,2024-09-22,0.0
Rushmore,1998,"Comedy, Drama, Romance",93 min,7.7,The extracurricular king of Rushmore Preparatory School is put on academic probation.,Disney+,,2024-01-05,
Wo hu cang long,2000,"Action, Adventure, Fantasy",,7.8,A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,,False,2020-12-04,0.0
Love and Death,1975,,85 min,7.7,"In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon.",HBO Max,False,2023-04-17,0.0
Strangers on a Train,1951,"Crime, Film-Noir, Thriller",101 min,7.9,A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder.,Amazon Prime,True,,0.0
Fear and Loathing in Las Vegas,1998,"Adventure, Comedy, Drama",,7.6,An oddball journalist and his psychopathic lawyer travel to Las Vegas for a series of psychedelic escapades.,Netflix,False,2020-03-15,14.7
Udta Punjab,2016,"Action, Crime, Drama",,,A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline.,HBO Max,True,2022-08-03,0.0
Ocean's Eleven,2001,"Crime, Thriller",116 min,,Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.,Amazon Prime,True,2024-03-20,11.51
Tumbbad,2018,"Drama, Fantasy, Horror",104 min,8.3,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,Hulu,True,2020-01-02,0.0
Finding Nemo,2003,"Animation, Adventure, Comedy",100 min,8.1,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",Netflix,False,2018-06-25,2.95
Willy Wonka & the Chocolate Factory,1971,"Family, Fantasy, Musical",,7.8,A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.,Netflix,,,8.54
A Beautiful Mind,2001,"Biography, Drama",135 min,8.2,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",,True,2024-05-03,18.51
Edward Scissorhands,1990,"Drama, Fantasy, Romance",,7.9,"An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world.",,True,,0.0
The Intouchables,2011,"Biography, Comedy, Drama",,,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",,False,2018-02-11,3.59
"Aguirre, der Zorn Gottes",1972,"Action, Adventure, Biography",95 min,7.9,,Disney+,True,2015-05-02,0.0
Tonari no Totoro,1988,"Animation, Family, Fantasy",86 min,8.2,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",,True,2017-10-21,13.0
Gattaca,1997,"Drama, Sci-Fi, Thriller",106 min,7.8,A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.,Disney+,False,2015-09-09,
Bridge of Spies,2015,"Drama, History, Thriller",142 min,7.6,"During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.",Netflix,False,2021-04-17,12.53
Belle de jour,1967,"Drama, Romance",,7.7,A frigid young housewife decides to spend her midweek afternoons as a prostitute.,Amazon Prime,True,,0.0
The Taking of Pelham One Two Three,1974,"Action, Crime, Thriller",104 min,7.7,,,False,2022-09-29,0.0
Batoru rowaiaru,2000,"Action, Adventure, Drama",114 min,7.6,"In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act.",Amazon Prime,False,2021-03-13,0.0
Birdman or (The Unexpected Virtue of Ignorance),2014,,119 min,7.7,"A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.",Amazon Prime,True,2019-12-22,0.0
Amélie,2001,"Comedy, Romance",,8.3,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",HBO Max,True,2021-01-10,0.0
His Girl Friday,1940,"Comedy, Drama, Romance",92 min,7.9,A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.,HBO Max,True,,13.05
Dil Chahta Hai,2001,"Comedy, Drama, Romance",183 min,8.1,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.",,False,2016-02-25,0.0
Detachment,2011,,,7.7,A substitute teacher who drifts from classroom to classroom finds a connection to the students and teachers during his latest assignment.,Disney+,True,2024-08-20,0.0
Perfetti sconosciuti,2016,"Comedy, Drama",96 min,7.8,"Seven long-time friends get together for a dinner. When they decide to share with each other the content of every text message, email and phone call they receive, many secrets start to unveil and the equilibrium trembles.",Disney+,False,2017-05-08,13.16
Days of Heaven,1978,"Drama, Romance",,7.8,A hot-tempered farm laborer convinces the woman he loves to marry their rich but dying boss so that they can have a claim to his fortune.,Amazon Prime,False,,
The Thin Man,1934,"Comedy, Crime, Mystery",91 min,8.0,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.",,True,2020-08-04,0.0
The Searchers,1956,"Adventure, Drama, Western",119 min,7.9,An American Civil War veteran embarks on a journey to rescue his niece from the Comanches.,Amazon Prime,True,2018-02-01,0.0
Baby Driver,2017,"Action, Crime, Drama",113 min,7.6,,Hulu,True,2017-10-13,0.0
Kis Uykusu,2014,Drama,196 min,8.1,,Amazon Prime,True,2022-09-29,0.0
Secrets & Lies,1996,"Comedy, Drama",136 min,8.0,"Following the death of her adoptive parents, a successful young black optometrist establishes contact with her biological mother -- a lonely white factory worker living in poverty in East London.",HBO Max,True,2022-11-19,0.0
Hedwig and the Angry Inch,2001,"Comedy, Drama, Music",95 min,7.7,A gender-queer punk-rock singer from East Berlin tours the U.S. with her band as she tells her life story and follows the former lover/band-mate who stole her songs.,,True,,0.0
Bound by Honor,1993,,180 min,8.0,"Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on step-brothers Paco and Cruz, and their bi-racial cousin Miklo.",,True,2016-11-06,0.0
